Package|    License|        Source of License Information|  Comments|       License/Copyright Links/References
rollup-plugin-babel| MIT| Container| NA| NA
rollup-plugin-commonjs| MIT| Container| NA| NA
rollup-plugin-node-resolve| MIT| Container| NA| NA
rollup-pluginutils| MIT| Container| NA| NA
safe-buffer| MIT| Container| NA| NA
samsam| BSD-3-Clause| Container| NA| NA
sass-graph| MIT| Container| NA| NA
semver| ISC| Container| NA| NA
shelljs| BSD-3-Clause| Container| NA| NA
shell-quote| MIT| Container| NA| NA
shx| MIT| Container| NA| NA
signal-exit| ISC| Container| NA| NA
sinon| BSD-3-Clause| Container| NA| NA
slash| MIT| Container| NA| NA
socket.io| MIT| Container| NA| NA
source-map| BSD-3-Clause| Container| NA| NA
specificity| MIT| Container| NA| NA
stdout-stream| MIT| Container| NA| NA
string.prototype.padend| MIT| Container| NA| NA
string-width| MIT| Container| NA| NA
strip-ansi| MIT| Container| NA| NA
strip-json-comments| MIT| Container| NA| NA
stylelint| MIT| Container| NA| NA
stylelint-config-recommended-scss| MIT| Container| NA| NA
stylelint-config-standard| MIT| Container| NA| NA
stylelint-config-twbs-bootstrap| MIT| Container| NA| NA
stylelint-order| MIT| Container| NA| NA
stylelint-scss| MIT| Container| NA| NA
style-search| ISC| Container| NA| NA
sugarss| MIT| Container| NA| NA
supports-color| MIT| Container| NA| NA
svg-tags| | Container| NA| NA
table| BSD-3-Clause| Container| NA| NA
template| MIT| Container| NA| NA
test-exclude| ISC| Container| NA| NA
text-table| MIT| Container| NA| NA
tmp| MIT| Container| NA| NA
touch| ISC| Container| NA| NA
traverse| MIT| Container| NA| NA
true-case-path| Apache-2.0| Container| NA| NA
types|  
{ type: 'MIT',
  url: 'https://github.com/nodeca/types/blob/master/LICENSE' }| Container| NA| NA
uglify-js| BSD-2-Clause| Container| NA| NA
undefsafe| MIT| Container| NA| NA
union| | Container| NA| NA
update-notifier| BSD-2-Clause| Container| NA| NA
urlcache| MIT| Container| NA| NA
urlobj| MIT| Container| NA| NA
useragent| MIT| Container| NA| NA
vnu-jar| MIT| Container| NA| NA
which| ISC| Container| NA| NA
yargs| MIT| Container| NA| NA
