Package|    License|        Source of License Information|  Comments|       License/Copyright Links/References
, MIT,Container , NA, NA
, BSD-like,Container , NA, NA
, Python Software Foundation License,Container , NA, NA
, MIT,Container , NA, NA
, MIT,Container , NA, NA
, MIT license,Container , NA, NA
, BSD,Container , NA, NA
, GNU LGPL,Container , NA, NA
, MIT license,Container , NA, NA
, Python style,Container , NA, NA
, New BSD License,Container , NA, NA
, BSD,Container , NA, NA
, MIT,Container , NA, NA
, MIT,Container , NA, NA
, MIT,Container , NA, NA
, BSD or Apache License,Container , NA, NA
, MIT,Container , NA, NA
, BSD License,Container , NA, NA
, MIT license,Container , NA, NA
, ASL,Container , NA, NA
, BSD,Container , NA, NA
, BSD-like,Container , NA, NA
, Python Software Foundation License,Container , NA, NA
, GNU LGPL,Container , NA, NA
, MIT license,Container , NA, NA
, MIT,Container , NA, NA
, Python style,Container , NA, NA
, MIT,Container , NA, NA
, MIT license,Container , NA, NA
, New BSD License,Container , NA, NA
, BSD,Container , NA, NA
, BSD,Container , NA, NA
, GNU LGPL,Container , NA, NA
, MIT,Container , NA, NA
, MIT license,Container , NA, NA
, MIT,Container , NA, NA
, Python style,Container , NA, NA
, BSD or Apache License,Container , NA, NA
, New BSD License,Container , NA, NA
, BSD License,Container , NA, NA
, BSD,Container , NA, NA
, ASL,Container , NA, NA
, BSD-like,Container , NA, NA
, MIT,Container , NA, NA
, Python Software Foundation License,Container , NA, NA
, MIT,Container , NA, NA
, MIT,Container , NA, NA
, MIT,Container , NA, NA
, MIT license,Container , NA, NA
, BSD,Container , NA, NA
, GNU LGPL,Container , NA, NA
, MIT license,Container , NA, NA
, Python style,Container , NA, NA
, New BSD License,Container , NA, NA
, BSD,Container , NA, NA
, MIT,Container , NA, NA
, MIT,Container , NA, NA
, BSD or Apache License,Container , NA, NA
, BSD License,Container , NA, NA
, ASL,Container , NA, NA
, BSD-like,Container , NA, NA
, Python Software Foundation License,Container , NA, NA
, MIT,Container , NA, NA
, MIT,Container , NA, NA
, MIT license,Container , NA, NA
, BSD,Container , NA, NA
, GNU LGPL,Container , NA, NA
, MIT license,Container , NA, NA
, Python style,Container , NA, NA
, New BSD License,Container , NA, NA
, BSD,Container , NA, NA
, MIT,Container , NA, NA
, MIT,Container , NA, NA
, BSD or Apache License,Container , NA, NA
, BSD License,Container , NA, NA
, ASL,Container , NA, NA
, BSD-like,Container , NA, NA
, Python Software Foundation License,Container , NA, NA
, MIT,Container , NA, NA
, MIT,Container , NA, NA
, MIT license,Container , NA, NA
, BSD,Container , NA, NA
, GNU LGPL,Container , NA, NA
, MIT license,Container , NA, NA
, Python style,Container , NA, NA
, New BSD License,Container , NA, NA
, BSD,Container , NA, NA
, MIT,Container , NA, NA
, MIT,Container , NA, NA
